,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
17,block,1,4,True,True,0.3678836036909797,4.0,two-sided,0.7316000830813216,1.0,bonf,0.42,0.12367928717858653
18,block,1,5,True,True,3.439900227959406e-16,4.0,two-sided,0.9999999999999998,1.0,bonf,0.397,6.502158104338873e-16
19,block,1,6,True,True,0.8820947812758557,4.0,two-sided,0.42754545462317234,1.0,bonf,0.535,0.3240849988435908
20,block,1,7,True,True,2.236067977499789,4.0,two-sided,0.08900934250008574,1.0,bonf,1.477,0.22979051349699975
21,block,1,8,True,True,0.43133109281375376,4.0,two-sided,0.6884570897760041,1.0,bonf,0.429,0.10218833482954005
22,block,1,9,True,True,0.884651736929383,4.0,two-sided,0.4263172079403687,1.0,bonf,0.536,0.14256524486526184
23,block,1,10,True,True,2.3042831291196366,4.0,two-sided,0.0825492904475073,1.0,bonf,1.557,0.5729124608545485
24,block,1,11,True,True,2.3688922485915005,4.0,two-sided,0.07691369672709501,1.0,bonf,1.636,0.7800265864785902
25,block,1,12,True,True,2.698825423223177,4.0,two-sided,0.054160188682260295,1.0,bonf,2.096,0.8634416513711175
26,block,1,13,True,True,2.0452804215995433,4.0,two-sided,0.11027986121132662,1.0,bonf,1.272,0.5584732934860716
27,block,1,14,True,True,3.628247387441713,4.0,two-sided,0.022194319889571476,1.0,bonf,3.967,1.1849054450387158
28,block,1,15,True,True,2.4009056535447866,4.0,two-sided,0.07428332970475206,1.0,bonf,1.677,1.0247644479415399
29,block,2,3,True,True,1.1788929048246692,4.0,two-sided,0.3037763387483162,1.0,bonf,0.652,0.18510299242941486
30,block,2,4,True,True,-0.8846517369293826,4.0,two-sided,0.4263172079403687,1.0,bonf,0.536,-0.11554103337981479
31,block,2,5,True,True,-2.057983021710106,4.0,two-sided,0.10870095132492358,1.0,bonf,1.285,-0.2668305868971344
32,block,2,6,True,True,0.2560006517000557,4.0,two-sided,0.8105766515432935,1.0,bonf,0.408,0.062153739162520226
33,block,2,7,True,True,-0.13074409009212296,4.0,two-sided,0.9022895822490161,1.0,bonf,0.4,-0.04228583382569919
34,block,2,8,True,True,-1.0886621079036354,4.0,two-sided,0.33750185654036446,1.0,bonf,0.612,-0.18473135215248548
35,block,2,9,True,True,-0.5827715174143592,4.0,two-sided,0.5913196318668533,1.0,bonf,0.456,-0.13048273108651182
36,block,2,10,True,True,2.025972065333382,4.0,two-sided,0.11272837664938876,1.0,bonf,1.253,0.3293345603900717
37,block,2,11,True,True,2.157277486520025,4.0,two-sided,0.09718518518518504,1.0,bonf,1.389,0.4645082945850091
38,block,2,12,True,True,1.8950043663015563,4.0,two-sided,0.13099167968790557,1.0,bonf,1.13,0.5358727098425997
39,block,2,13,True,True,0.5323703244320844,4.0,two-sided,0.6226676058328376,1.0,bonf,0.446,0.21780264091927173
40,block,2,14,True,True,2.070196678027063,4.0,two-sided,0.10720626619962936,1.0,bonf,1.297,0.7500882051305551
41,block,2,15,True,True,1.5851804343656621,4.0,two-sided,0.18810537283244008,1.0,bonf,0.885,0.7465361348558452
42,block,3,4,True,True,-2.4229676165692964,4.0,two-sided,0.07252995773290265,1.0,bonf,1.705,-0.2743420919009143
43,block,3,5,True,True,-1.8865049564424712,4.0,two-sided,0.13228335130985727,1.0,bonf,1.123,-0.41016697924483186
44,block,3,6,True,True,-0.4262593685558492,4.0,two-sided,0.6918566461110366,1.0,bonf,0.428,-0.12917221130350492
45,block,3,7,True,True,-0.5472709249555372,4.0,two-sided,0.6132938536113726,1.0,bonf,0.449,-0.223328632534301
46,block,3,8,True,True,-1.139637919236786,4.0,two-sided,0.3180482075616841,1.0,bonf,0.634,-0.34675445489534246
47,block,3,9,True,True,-0.9769565553101257,4.0,two-sided,0.38390842187531143,1.0,bonf,0.568,-0.298232202914728
48,block,3,10,True,True,0.7042403410788068,4.0,two-sided,0.5201218061456503,1.0,bonf,0.483,0.11844110981949542
49,block,3,11,True,True,0.6542824836180419,4.0,two-sided,0.5486401380592579,1.0,bonf,0.471,0.1926342828814977
50,block,3,12,True,True,0.6508672685842566,4.0,two-sided,0.5506291459989545,1.0,bonf,0.471,0.24752380536719518
51,block,3,13,True,True,-0.06404835690050986,4.0,two-sided,0.9520047410817349,1.0,bonf,0.398,-0.03134109868726346
52,block,3,14,True,True,0.809142733930343,4.0,two-sided,0.46381435396384557,1.0,bonf,0.512,0.3687328602870515
53,block,3,15,True,True,0.8757583878001276,4.0,two-sided,0.4306016838311477,1.0,bonf,0.533,0.47037426843249774
