temp,perceptual_temp,rl_temp,ff1,ff2,ffp1,ffp2,trial,model,agent,s,a,r,optimal_option,optimal_ev,optimal_ff,params,destroy,cumulative_reward
,5.0,5.0,-0.8,1.0,0.16798161486607552,0.8807970779778823,30,balanced,1,1,0,0.0,True,False,False,"{'β': 2.666876605292793, '$\\delta$': 96.46205451413591}",False,1074.8827245334319
,5.0,5.0,-0.8,-0.1,0.16798161486607552,0.45016600268752216,31,balanced,1,1,0,0.0,True,False,False,"{'β': 2.725151023646844, '$\\delta$': 96.46205451413591}",False,1074.8827245334319
,5.0,5.0,-1.0,0.3,0.11920292202211755,0.6456563062257954,32,balanced,1,1,0,0.0,True,False,False,"{'β': 2.7700074377480584, '$\\delta$': 96.46205451413591}",False,1074.8827245334319
,5.0,5.0,0.1,-0.1,0.549833997312478,0.45016600268752216,33,balanced,1,1,0,0.0,True,True,True,"{'β': 2.7325587297205947, '$\\delta$': 96.46205451413591}",False,1074.8827245334319
,5.0,5.0,1.0,0.6,0.8807970779778823,0.7685247834990175,34,balanced,1,1,0,96.10241165399228,True,True,True,"{'β': 2.7752824369879328, '$\\delta$': 97.2438129915814}",True,1170.9851361874241
,5.0,5.0,1.0,0.6,0.8807970779778823,0.7685247834990175,35,balanced,1,1,0,69.78198615562259,True,True,True,"{'β': 2.8156176453820523, '$\\delta$': 97.59274834520998}",True,1240.7671223430468
,5.0,5.0,-0.3,-0.8,0.35434369377420455,0.16798161486607552,36,balanced,1,1,0,0.0,True,True,True,"{'β': 2.8710469382644006, '$\\delta$': 97.59274834520998}",False,1240.7671223430468
,5.0,5.0,-0.3,0.8,0.35434369377420455,0.8320183851339245,37,balanced,1,1,0,0.0,True,True,False,"{'β': 2.926668795940159, '$\\delta$': 97.59274834520998}",False,1240.7671223430468
,5.0,5.0,-0.8,-0.3,0.16798161486607552,0.35434369377420455,38,balanced,1,1,0,0.0,True,True,False,"{'β': 2.972815120527196, '$\\delta$': 97.59274834520998}",False,1240.7671223430468
,5.0,5.0,-1.0,-1.0,0.11920292202211755,0.11920292202211755,39,balanced,1,1,0,0.0,True,True,True,"{'β': 3.0068393254655357, '$\\delta$': 97.59274834520998}",False,1240.7671223430468
,5.0,5.0,1.0,0.3,0.8807970779778823,0.6456563062257954,40,balanced,1,1,0,71.65220900644752,True,True,True,"{'β': 3.0393177095286776, '$\\delta$': 97.84934863541811}",True,1312.4193313494943
,5.0,5.0,0.3,-0.6,0.6456563062257954,0.23147521650098238,41,balanced,1,1,0,0.0,True,True,True,"{'β': 2.909784012625247, '$\\delta$': 97.84934863541811}",False,1312.4193313494943
,5.0,5.0,-0.3,1.0,0.35434369377420455,0.8807970779778823,42,balanced,1,1,0,0.0,True,True,False,"{'β': 2.9599771070858503, '$\\delta$': 97.84934863541811}",False,1312.4193313494943
,5.0,5.0,-0.3,-0.6,0.35434369377420455,0.23147521650098238,43,balanced,1,1,0,59.86044729635465,True,True,True,"{'β': 2.8388889972801667, '$\\delta$': 98.01241770980803}",True,1372.2797786458489
,5.0,5.0,-0.6,1.0,0.23147521650098238,0.8807970779778823,44,balanced,1,1,0,0.0,True,False,False,"{'β': 2.88830449591601, '$\\delta$': 98.01241770980803}",False,1372.2797786458489
,5.0,5.0,0.6,-0.6,0.7685247834990175,0.23147521650098238,45,balanced,1,1,0,0.0,True,True,True,"{'β': 2.6324313876288437, '$\\delta$': 98.01241770980803}",False,1372.2797786458489
,5.0,5.0,-0.1,-0.1,0.45016600268752216,0.45016600268752216,46,balanced,1,1,0,0.0,True,True,True,"{'β': 2.6527992949625436, '$\\delta$': 98.01241770980803}",False,1372.2797786458489
,5.0,5.0,0.3,0.3,0.6456563062257954,0.6456563062257954,47,balanced,1,1,0,0.0,True,True,True,"{'β': 2.5572003361225923, '$\\delta$': 98.01241770980803}",False,1372.2797786458489
,5.0,5.0,0.3,0.6,0.6456563062257954,0.7685247834990175,48,balanced,1,1,0,94.02130324913216,True,True,False,"{'β': 2.599128693975123, '$\\delta$': 98.20731993257559}",True,1466.301081894981
,5.0,5.0,0.6,0.1,0.7685247834990175,0.549833997312478,49,balanced,1,1,0,81.88367181178923,True,True,True,"{'β': 2.645331508836304, '$\\delta$': 98.33477719013887}",True,1548.1847537067704
,10.0,1.0,-0.3,-0.3,0.35434369377420455,0.35434369377420455,0,value neglect,2,0,1,0.0,False,False,True,"{'β': 0.553825048321012, '$\\delta$': -0.04437202461572534}",False,0.0
,10.0,1.0,0.8,-0.6,0.8320183851339245,0.23147521650098238,1,value neglect,2,0,0,0.0,True,True,True,"{'β': -0.6406336222918471, '$\\delta$': -0.04437202461572534}",False,0.0
,10.0,1.0,-0.3,-0.6,0.35434369377420455,0.23147521650098238,2,value neglect,2,0,1,0.0,False,False,False,"{'β': 0.10568091368322526, '$\\delta$': -0.04437202461572534}",False,0.0
,10.0,1.0,0.6,-0.1,0.7685247834990175,0.45016600268752216,3,value neglect,2,0,0,33.21950437959929,True,True,True,"{'β': 0.632444426165589, '$\\delta$': 51.59173924068953}",True,33.21950437959929
,10.0,1.0,0.1,1.0,0.549833997312478,0.8807970779778823,4,value neglect,2,0,1,46.446008096178545,False,False,True,"{'β': 1.1523824499072257, '$\\delta$': -23.588245308485998}",True,79.66551247577783
,10.0,1.0,-0.6,0.6,0.23147521650098238,0.7685247834990175,5,value neglect,2,0,1,23.78569578489931,False,True,True,"{'β': 1.4220330721160754, '$\\delta$': -56.281429342346485}",True,103.45120826067713
,10.0,1.0,1.0,-0.8,0.8807970779778823,0.16798161486607552,6,value neglect,2,0,0,61.94077949461673,True,True,True,"{'β': 1.684236225290951, '$\\delta$': 41.576792767479446}",True,165.39198775529385
,10.0,1.0,-0.8,-1.0,0.16798161486607552,0.11920292202211755,7,value neglect,2,0,0,0.0,True,True,True,"{'β': 1.8793460776207174, '$\\delta$': 41.576792767479446}",False,165.39198775529385
,10.0,1.0,0.1,0.6,0.549833997312478,0.7685247834990175,8,value neglect,2,0,1,89.53430452540411,False,False,True,"{'β': 2.0410986012252375, '$\\delta$': -76.78828530301254}",True,254.92629228069796
,10.0,1.0,-0.8,1.0,0.16798161486607552,0.8807970779778823,9,value neglect,2,0,1,40.82774719827239,False,True,True,"{'β': 2.18092683667057, '$\\delta$': -88.28172560198811}",True,295.75403947897036
,10.0,1.0,0.6,-0.1,0.7685247834990175,0.45016600268752216,10,value neglect,2,0,0,59.874261441073,True,True,True,"{'β': 2.311735161982397, '$\\delta$': -64.46359317561375}",True,355.62830092004333
,10.0,1.0,-0.1,0.8,0.45016600268752216,0.8320183851339245,11,value neglect,2,0,1,21.518070475440272,False,True,True,"{'β': 2.4273036142382147, '$\\delta$': -77.69025134008247}",True,377.1463713954836
,10.0,1.0,-0.8,0.3,0.16798161486607552,0.6456563062257954,12,value neglect,2,0,1,42.0446772501834,False,True,True,"{'β': 2.524269724176041, '$\\delta$': -88.77216437875339}",True,419.19104864566697
,10.0,1.0,-1.0,-1.0,0.11920292202211755,0.11920292202211755,13,value neglect,2,0,1,0.0,False,False,True,"{'β': 2.6109673166221876, '$\\delta$': -88.77216437875339}",False,419.19104864566697
,10.0,1.0,0.1,0.6,0.549833997312478,0.7685247834990175,14,value neglect,2,0,1,34.39512885478057,False,False,True,"{'β': 2.7117007248075433, '$\\delta$': -92.40506914497833}",True,453.58617750044755
,10.0,1.0,0.8,-0.8,0.8320183851339245,0.16798161486607552,15,value neglect,2,0,0,0.0,True,True,True,"{'β': 2.119861640826517, '$\\delta$': -92.40506914497833}",False,453.58617750044755
,10.0,1.0,0.6,0.6,0.7685247834990175,0.7685247834990175,16,value neglect,2,0,1,20.88426580882484,False,False,True,"{'β': 2.2134829932822004, '$\\delta$': -93.7145619054659}",True,474.4704433092724
,10.0,1.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,17,value neglect,2,0,1,0.0,False,False,True,"{'β': 2.2984841813778223, '$\\delta$': -93.7145619054659}",False,474.4704433092724
,10.0,1.0,-0.6,0.8,0.23147521650098238,0.8320183851339245,18,value neglect,2,0,1,40.172360856872594,False,True,True,"{'β': 2.377338873191366, '$\\delta$': -95.36238221118428}",True,514.642804166145
,10.0,1.0,-0.3,0.3,0.35434369377420455,0.6456563062257954,19,value neglect,2,0,1,45.2766637626805,False,True,True,"{'β': 2.4455706133684694, '$\\delta$': -96.47695531729553}",True,559.9194679288255
,10.0,1.0,-0.1,0.3,0.45016600268752216,0.6456563062257954,20,value neglect,2,0,1,69.60117731214439,False,False,True,"{'β': 2.5138522831681036, '$\\delta$': -97.48682256844751}",True,629.5206452409699
,10.0,1.0,-0.6,1.0,0.23147521650098238,0.8807970779778823,21,value neglect,2,0,1,33.8607796476832,False,True,True,"{'β': 2.572875605120795, '$\\delta$': -97.81090087715634}",True,663.3814248886531
,10.0,1.0,0.1,-0.3,0.549833997312478,0.35434369377420455,22,value neglect,2,0,0,90.4302467008496,True,True,True,"{'β': 2.6037620286342937, '$\\delta$': -96.70710800709031}",True,753.8116715895027
,10.0,1.0,-0.6,-1.0,0.23147521650098238,0.11920292202211755,23,value neglect,2,0,0,0.0,True,True,True,"{'β': 2.6765646502927614, '$\\delta$': -96.70710800709031}",False,753.8116715895027
,10.0,1.0,0.3,0.1,0.6456563062257954,0.549833997312478,24,value neglect,2,0,1,0.0,False,False,False,"{'β': 2.6361157304364733, '$\\delta$': -96.70710800709031}",False,753.8116715895027
,10.0,1.0,-0.1,1.0,0.45016600268752216,0.8807970779778823,25,value neglect,2,1,1,16.245710695413884,False,False,True,"{'β': 2.687174055083394, '$\\delta$': -27.785020965230878}",True,770.0573822849166
,10.0,1.0,0.1,-1.0,0.549833997312478,0.11920292202211755,26,value neglect,2,1,0,53.810208593176974,True,True,True,"{'β': 2.7169152943634947, '$\\delta$': 56.93426010061833}",True,823.8675908780936
,10.0,1.0,0.6,1.0,0.7685247834990175,0.8807970779778823,27,value neglect,2,1,1,20.128799417955367,False,False,True,"{'β': 2.7639265420362724, '$\\delta$': 31.155128106480575}",True,843.996390296049
,10.0,1.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,28,value neglect,2,1,1,0.0,False,False,True,"{'β': 2.8186545745690412, '$\\delta$': 31.155128106480575}",False,843.996390296049
,10.0,1.0,0.3,0.3,0.6456563062257954,0.6456563062257954,29,value neglect,2,1,1,16.064995608601535,False,False,True,"{'β': 2.8782609301410043, '$\\delta$': 4.306516216652448}",True,860.0613859046505
,10.0,1.0,-0.1,0.3,0.45016600268752216,0.6456563062257954,30,value neglect,2,1,1,0.0,False,False,True,"{'β': 2.7383447302127126, '$\\delta$': 4.306516216652448}",False,860.0613859046505
,10.0,1.0,-1.0,0.6,0.11920292202211755,0.7685247834990175,31,value neglect,2,1,1,34.407989269071734,False,True,True,"{'β': 2.798637020067184, '$\\delta$': -50.53360689493113}",True,894.4693751737223
