temp,perceptual_temp,rl_temp,ff1,ff2,ffp1,ffp2,trial,model,agent,s,a,r,optimal_option,optimal_ev,optimal_ff,params,destroy,cumulative_reward
,5.0,5.0,0.3,-0.1,0.6456563062257954,0.45016600268752216,0,balanced,1,0,0,0.3749247361249217,True,True,True,"{'β': 0.553825048321012, '$\\delta$': 0.19036946764702903}",True,0.3749247361249217
,5.0,5.0,-0.6,1.0,0.23147521650098238,0.8807970779778823,1,balanced,1,0,1,0.0,False,True,True,"{'β': -0.7925242351886401, '$\\delta$': 0.19036946764702903}",False,0.3749247361249217
,5.0,5.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,2,balanced,1,0,1,0.0,False,False,True,"{'β': 0.0852654684942151, '$\\delta$': 0.19036946764702903}",False,0.3749247361249217
,5.0,5.0,1.0,0.8,0.8807970779778823,0.8320183851339245,3,balanced,1,0,0,0.4599842908197389,True,True,True,"{'β': 0.6987724629554596, '$\\delta$': 0.1539753839888069}",True,0.8349090269446606
,5.0,5.0,0.1,1.0,0.549833997312478,0.8807970779778823,4,balanced,1,0,1,0.2965611985621752,False,False,True,"{'β': 1.0743310605060237, '$\\delta$': 0.17489306305896227}",True,1.1314702255068358
,5.0,5.0,0.8,0.1,0.8320183851339245,0.549833997312478,5,balanced,1,0,0,0.5812956306666067,True,True,True,"{'β': 1.3209563752140994, '$\\delta$': 0.17052783133587435}",True,1.7127658561734425
,5.0,5.0,0.1,0.8,0.549833997312478,0.8320183851339245,6,balanced,1,0,1,0.5499206859037337,False,False,True,"{'β': 1.525486301558549, '$\\delta$': 0.14609869424600144}",True,2.262686542077176
,5.0,5.0,0.8,-0.1,0.8320183851339245,0.45016600268752216,7,balanced,1,0,0,0.6624521945120889,True,True,True,"{'β': 1.6999512526661797, '$\\delta$': 0.1571760936994565}",True,2.9251387365892647
,5.0,5.0,0.6,-0.1,0.7685247834990175,0.45016600268752216,8,balanced,1,0,0,0.0,True,True,True,"{'β': 1.3242512445270924, '$\\delta$': 0.1571760936994565}",False,2.9251387365892647
,5.0,5.0,-0.3,0.1,0.35434369377420455,0.549833997312478,9,balanced,1,0,0,0.6011708105700888,True,True,False,"{'β': 1.1854550348952038, '$\\delta$': 0.15888632734399544}",True,3.5263095471593537
,5.0,5.0,0.1,-1.0,0.549833997312478,0.11920292202211755,10,balanced,1,0,0,0.0,True,True,True,"{'β': 1.1459240685671603, '$\\delta$': 0.15888632734399544}",False,3.5263095471593537
,5.0,5.0,1.0,0.3,0.8807970779778823,0.6456563062257954,11,balanced,1,0,0,0.2594650813651158,True,True,True,"{'β': 1.3154995636850872, '$\\delta$': 0.11985025375377326}",True,3.7857746285244698
,5.0,5.0,-0.1,-0.6,0.45016600268752216,0.23147521650098238,12,balanced,1,0,0,0.6483066599433379,True,True,True,"{'β': 1.2787723823370294, '$\\delta$': 0.12743532116776363}",True,4.434081288467808
,5.0,5.0,-0.6,-0.8,0.23147521650098238,0.16798161486607552,13,balanced,1,0,0,0.0,True,True,True,"{'β': 1.4026984186667923, '$\\delta$': 0.12743532116776363}",False,4.434081288467808
,5.0,5.0,-1.0,-0.1,0.11920292202211755,0.45016600268752216,14,balanced,1,0,1,0.44228656769154373,False,True,True,"{'β': 1.3666891208654963, '$\\delta$': 0.1258427108870849}",True,4.8763678561593515
,5.0,5.0,-0.6,0.3,0.23147521650098238,0.6456563062257954,15,balanced,1,0,1,0.0,False,True,True,"{'β': 1.2495851265915747, '$\\delta$': 0.1258427108870849}",False,4.8763678561593515
,5.0,5.0,-0.1,0.6,0.45016600268752216,0.7685247834990175,16,balanced,1,0,0,0.0,True,False,False,"{'β': 1.279060741235835, '$\\delta$': 0.1258427108870849}",False,4.8763678561593515
,5.0,5.0,0.6,-0.8,0.7685247834990175,0.16798161486607552,17,balanced,1,0,0,0.6149775324264892,True,True,True,"{'β': 1.3949797598075344, '$\\delta$': 0.12994467027437723}",True,5.491345388585841
,5.0,5.0,-0.8,-0.8,0.16798161486607552,0.16798161486607552,18,balanced,1,0,1,0.5897831736308626,False,False,True,"{'β': 1.0619671106080153, '$\\delta$': 0.11558314449554093}",True,6.081128562216703
,5.0,5.0,0.1,-1.0,0.549833997312478,0.11920292202211755,19,balanced,1,0,0,0.781274819202683,True,True,True,"{'β': 1.08685943824141, '$\\delta$': 0.13426243278182984}",True,6.862403381419386
,5.0,5.0,-0.8,-0.3,0.16798161486607552,0.35434369377420455,20,balanced,1,0,1,0.4259051948921909,False,True,True,"{'β': 0.9961421429333887, '$\\delta$': 0.13437708869560033}",True,7.288308576311577
,5.0,5.0,-0.8,-1.0,0.16798161486607552,0.11920292202211755,21,balanced,1,0,1,0.0,False,False,False,"{'β': 1.1274995563300911, '$\\delta$': 0.13437708869560033}",False,7.288308576311577
,5.0,5.0,-1.0,-0.6,0.11920292202211755,0.23147521650098238,22,balanced,1,0,0,0.0,True,False,False,"{'β': 1.2416496523787477, '$\\delta$': 0.13437708869560033}",False,7.288308576311577
,5.0,5.0,-0.3,-0.1,0.35434369377420455,0.45016600268752216,23,balanced,1,0,0,0.0,True,True,False,"{'β': 1.2975813695377296, '$\\delta$': 0.13437708869560033}",False,7.288308576311577
,5.0,5.0,-1.0,0.6,0.11920292202211755,0.7685247834990175,24,balanced,1,0,1,0.31198567978259356,False,True,True,"{'β': 1.3829798643898137, '$\\delta$': 0.14497597151208422}",True,7.600294256094171
,5.0,5.0,-0.8,0.1,0.16798161486607552,0.549833997312478,25,balanced,1,1,1,0.0,False,True,True,"{'β': 1.358169238589677, '$\\delta$': 0.3082835373652793}",False,7.600294256094171
,5.0,5.0,0.3,1.0,0.6456563062257954,0.8807970779778823,26,balanced,1,1,0,0.5326844586540485,True,True,False,"{'β': 1.4126330661716586, '$\\delta$': 0.2466056327186689}",True,8.13297871474822
,5.0,5.0,-0.3,-0.3,0.35434369377420455,0.35434369377420455,27,balanced,1,1,0,0.0,True,True,True,"{'β': 1.4670818047221819, '$\\delta$': 0.2466056327186689}",False,8.13297871474822
,5.0,5.0,0.6,-0.6,0.7685247834990175,0.23147521650098238,28,balanced,1,1,0,0.8695608427561569,True,True,True,"{'β': 1.5471397909258153, '$\\delta$': 0.3505304968606994}",True,9.002539557504376
,5.0,5.0,0.3,-0.6,0.6456563062257954,0.23147521650098238,29,balanced,1,1,0,0.0,True,True,True,"{'β': 1.462559735674239, '$\\delta$': 0.3505304968606994}",False,9.002539557504376
,5.0,5.0,-0.3,-0.3,0.35434369377420455,0.35434369377420455,30,balanced,1,1,0,0.4519736798507098,True,True,True,"{'β': 1.3821757059400983, '$\\delta$': 0.26380841268439204}",True,9.454513237355085
,5.0,5.0,0.3,0.3,0.6456563062257954,0.6456563062257954,31,balanced,1,1,0,0.8636705184445705,True,True,True,"{'β': 1.4330122664310811, '$\\delta$': 0.3456776662027226}",True,10.318183755799655
,5.0,5.0,-0.6,0.8,0.23147521650098238,0.8320183851339245,32,balanced,1,1,0,0.8720159370908611,True,False,False,"{'β': 1.2601641086229003, '$\\delta$': 0.4259526341132164}",True,11.190199692890516
,5.0,5.0,1.0,-0.6,0.8807970779778823,0.23147521650098238,33,balanced,1,1,0,0.5686618718464859,True,True,True,"{'β': 1.3459878631017348, '$\\delta$': 0.3863745735609477}",True,11.758861564737002
,5.0,5.0,1.0,0.6,0.8807970779778823,0.7685247834990175,34,balanced,1,1,0,0.7982045193423779,True,True,True,"{'β': 1.423844944119917, '$\\delta$': 0.4260390051445605}",True,12.557066084079379
,5.0,5.0,-0.3,0.8,0.35434369377420455,0.8320183851339245,35,balanced,1,1,1,0.46282182918858117,False,False,True,"{'β': 1.4941261030897879, '$\\delta$': 0.38549856598664184}",True,13.01988791326796
,5.0,5.0,-0.8,1.0,0.16798161486607552,0.8807970779778823,36,balanced,1,1,1,0.26467856483785934,False,True,True,"{'β': 1.5606840377014506, '$\\delta$': 0.4023302705058041}",True,13.28456647810582
,5.0,5.0,0.3,-1.0,0.6456563062257954,0.11920292202211755,37,balanced,1,1,0,0.0,True,True,True,"{'β': 1.495710767677362, '$\\delta$': 0.4023302705058041}",False,13.28456647810582
,5.0,5.0,0.8,0.6,0.8320183851339245,0.7685247834990175,38,balanced,1,1,0,0.6639887691797678,True,True,True,"{'β': 1.5583262140325398, '$\\delta$': 0.40006019923724256}",True,13.948555247285588
,5.0,5.0,1.0,0.8,0.8807970779778823,0.8320183851339245,39,balanced,1,1,0,0.49989486804867567,True,True,True,"{'β': 1.617255852955578, '$\\delta$': 0.36393325983207075}",True,14.448450115334264
